,genome_id,Actual,Predicted,Category
490,3300026302_27,Uncultured,Uncultured,TN
491,3300005326_20,Uncultured,Uncultured,TN
492,3300029441_22,Uncultured,Uncultured,TN
493,3300026522_51,Uncultured,Uncultured,TN
494,3300029482_12,Uncultured,Uncultured,TN
495,3300025714_22,Uncultured,Uncultured,TN
496,3300027965_36,Uncultured,Uncultured,TN
497,3300000233_5,Uncultured,Uncultured,TN
498,3300014943_3,Uncultured,Uncultured,TN
499,3300007498_15,Uncultured,Uncultured,TN
500,3300014824_30,Uncultured,Uncultured,TN
501,3300029579_28,Uncultured,Uncultured,TN
502,3300024433_41,Uncultured,Uncultured,TN
503,3300029859_26,Uncultured,Uncultured,TN
504,3300008518_3,Cultured,Uncultured,FN
505,3300025467_9,Uncultured,Uncultured,TN
506,3300029488_13,Cultured,Uncultured,FN
507,3300025446_8,Uncultured,Uncultured,TN
508,3300027784_21,Uncultured,Uncultured,TN
509,3300011605_2,Cultured,Uncultured,FN
510,3300029886_12,Cultured,Uncultured,FN
511,3300025644_60,Uncultured,Uncultured,TN
512,3300029493_18,Uncultured,Uncultured,TN
513,3300026509_15,Uncultured,Uncultured,TN
514,3300025175_1,Uncultured,Uncultured,TN
515,3300025253_9,Uncultured,Uncultured,TN
516,3300029566_16,Uncultured,Uncultured,TN
517,3300020603_118,Uncultured,Uncultured,TN
518,3300010295_7,Uncultured,Uncultured,TN
519,3300014724_2,Cultured,Uncultured,FN
520,3300018430_70,Uncultured,Uncultured,TN
521,3300028602_61,Uncultured,Uncultured,TN
522,3300014663_1,Uncultured,Uncultured,TN
523,3300005673_1,Uncultured,Uncultured,TN
524,3300024328_14,Cultured,Uncultured,FN
525,3300020463_44,Uncultured,Uncultured,TN
526,3300026623_8,Uncultured,Uncultured,TN
527,3300008636_3,Cultured,Uncultured,FN
528,3300026966_8,Uncultured,Uncultured,TN
529,3300007360_10,Uncultured,Uncultured,TN
530,3300009393_7,Cultured,Uncultured,FN
531,3300020330_10,Uncultured,Uncultured,TN
532,3300029103_18,Cultured,Uncultured,FN
533,3300014803_7,Uncultured,Uncultured,TN
534,3300010167_146,Uncultured,Uncultured,TN
535,3300012943_26,Uncultured,Uncultured,TN
536,3300008537_22,Cultured,Uncultured,FN
537,3300028949_4,Cultured,Uncultured,FN
538,3300011185_10,Uncultured,Uncultured,TN
539,3300014546_8,Uncultured,Uncultured,TN
540,3300025471_27,Uncultured,Uncultured,TN
541,3300014776_3,Uncultured,Uncultured,TN
542,3300025611_23,Uncultured,Uncultured,TN
543,3300029653_6,Cultured,Uncultured,FN
544,3300025613_39,Uncultured,Uncultured,TN
545,3300020372_5,Uncultured,Uncultured,TN
546,3300010268_9,Uncultured,Uncultured,TN
547,3300000236_6,Uncultured,Uncultured,TN
548,3300029623_51,Uncultured,Uncultured,TN
549,3300029384_20,Uncultured,Uncultured,TN
550,3300008725_41,Uncultured,Uncultured,TN
551,3300025681_21,Uncultured,Uncultured,TN
552,3300002170_37,Uncultured,Uncultured,TN
553,3300027416_1,Uncultured,Uncultured,TN
554,3300006464_7,Uncultured,Uncultured,TN
555,3300020396_22,Uncultured,Uncultured,TN
556,3300029538_19,Cultured,Uncultured,FN
557,3300008420_2,Cultured,Uncultured,FN
558,3300028417_12,Uncultured,Uncultured,TN
559,3300013764_3,Uncultured,Uncultured,TN
560,3300010263_20,Uncultured,Uncultured,TN
561,3300027815_41,Uncultured,Uncultured,TN
562,3300021093_51,Uncultured,Uncultured,TN
563,3300017970_19,Uncultured,Uncultured,TN
564,3300029408_10,Cultured,Uncultured,FN
565,3300011002_17,Uncultured,Uncultured,TN
566,3300017968_24,Uncultured,Uncultured,TN
567,3300025890_78,Uncultured,Uncultured,TN
568,3300020472_14,Uncultured,Uncultured,TN
569,3300029477_12,Uncultured,Uncultured,TN
570,3300026253_32,Uncultured,Uncultured,TN
571,3300014789_9,Uncultured,Uncultured,TN
572,3300020394_13,Uncultured,Uncultured,TN
573,3300012833_5,Cultured,Uncultured,FN
574,3300027851_68,Cultured,Uncultured,FN
575,3300028564_18,Uncultured,Uncultured,TN
576,3300029324_5,Cultured,Uncultured,FN
577,3300011146_2,Cultured,Uncultured,FN
578,3300025350_25,Uncultured,Uncultured,TN
579,3300029114_13,Uncultured,Uncultured,TN
580,3300007139_5,Uncultured,Uncultured,TN
581,3300025529_27,Cultured,Uncultured,FN
582,3300013093_25,Uncultured,Uncultured,TN
